component_id,artifact_id,source_population,stratum,attack_related,raw_component_median_latency_ns,paired_h0_median_latency_ns,composed_path_median_latency_ns,paired_component_minus_load_difference_median_ns,peak_traced_allocation_bytes,canonical_bytes,bundle_bytes,N_operations,N_modes,schedule_operation_count,recorded_repetitions
H1,aa5b4ee1688c71f1a3932cd7d9b629a08e31ef09728f3280c98c7636eecfb8d3,A26_RETAINED_ACCEPTED_BUNDLES_V1,accepted,False,20658700.0,9737650.0,30488700.0,10608300.0,5117277,754924,754924,150,451,150,100
H1,aad646b14392b632d658225dedb7d3953424ab9ab19ebafdc67bd9a7f02eb50b,A26_RETAINED_ACCEPTED_BUNDLES_V1,accepted,False,20832050.0,9929300.0,30940800.0,10795900.0,5155015,782303,782303,150,490,150,100
H1,abc8d6ba26b9728a25ebd17f4066aa5421f54fde1c1ef630cc33cb308c0fb8e5,A26_RETAINED_ACCEPTED_BUNDLES_V1,accepted,False,9545050.0,5272000.0,14853950.0,4351000.0,2648877,373355,373355,90,172,90,100
H1,b0f01f4c7ca822555039b9267d8985edbeb149abc0a710d6583cea634584f862,A26_RETAINED_ACCEPTED_BUNDLES_V1,accepted,False,20171250.0,10102450.0,30572400.0,10046350.0,5149223,778599,778599,150,490,150,100
H1,b31f9c5cbf923f188771558357941c1a7d6a71089f67793c620cf7034a070eb2,A26_RETAINED_ACCEPTED_BUNDLES_V1,accepted,False,9910400.0,5342850.0,15258400.0,4436350.0,2685216,377436,377436,90,172,90,100
H1,b5c400c27e6dbb1cc8466c5ce68e1530b6d984599f3c01c36496b49b586ff5e3,A26_RETAINED_ACCEPTED_BUNDLES_V1,accepted,False,20025850.0,9832300.0,30036000.0,9842200.0,5117123,755038,755038,150,451,150,100
H1,bb3f15222034bdf87b9be499b27f859fe778b781693fd54677f83bd7531f0680,A26_RETAINED_ACCEPTED_BUNDLES_V1,accepted,False,9698950.0,5298300.0,15027200.0,4463600.0,2681253,376547,376547,90,172,90,100
H1,ce18361670bfbcde2f3ff22167187aecef9164dedbf1198bc7563c147804780e,A26_RETAINED_ACCEPTED_BUNDLES_V1,accepted,False,19541950.0,9716650.0,29418550.0,9834700.0,5129538,755123,755123,150,451,150,100
H1,ceae66508816dc9f5458c925c89f155658e6c78710a8753d337ac385481cc1bf,A26_RETAINED_ACCEPTED_BUNDLES_V1,accepted,False,19891950.0,9736100.0,29801000.0,10012350.0,5116914,754947,754947,150,451,150,100
H1,d093d52f24139c1b6fb09b775beedd000f1a7b3716df906d7d36e91e7e848265,A26_RETAINED_ACCEPTED_BUNDLES_V1,accepted,False,20104800.0,9693000.0,30013250.0,10166000.0,5123490,758647,758647,150,451,150,100
