component_id,reporting_group,artifact_id,descriptor,descriptor_value,artifact_median_component_latency_ns,observed_range_only
H1,H1_A22,A22_ATTACK_UNDERLYING_017,bundle_bytes,2272,57750.0,True
H1,H1_A22,A22_ATTACK_UNDERLYING_018,canonical_bytes,12015,147200.0,True
H1,H1_A22,A22_ATTACK_UNDERLYING_018,bundle_bytes,12015,147200.0,True
H1,H1_A22,A22_ATTACK_UNDERLYING_019,canonical_bytes,2317,60650.0,True
H1,H1_A22,A22_ATTACK_UNDERLYING_019,bundle_bytes,2317,60650.0,True
H1,H1_A22,A22_ATTACK_UNDERLYING_020,canonical_bytes,10083,149650.0,True
H1,H1_A22,A22_ATTACK_UNDERLYING_020,bundle_bytes,10083,149650.0,True
H1,H1_A22,A22_COMPOSITE_NEW_ORDER_001,canonical_bytes,3085,73150.0,True
H1,H1_A22,A22_COMPOSITE_NEW_ORDER_001,bundle_bytes,3085,73150.0,True
H1,H1_A22,A22_COMPOSITE_NEW_ORDER_002,canonical_bytes,4519,89500.0,True
H1,H1_A22,A22_COMPOSITE_NEW_ORDER_002,bundle_bytes,4519,89500.0,True
H1,H1_A22,A22_COMPOSITE_NEW_ORDER_003,canonical_bytes,2044,61700.0,True
H1,H1_A22,A22_COMPOSITE_NEW_ORDER_003,bundle_bytes,2044,61700.0,True
H1,H1_A22,A22_COMPOSITE_NEW_ORDER_004,canonical_bytes,3098,73800.0,True
H1,H1_A22,A22_COMPOSITE_NEW_ORDER_004,bundle_bytes,3098,73800.0,True
H1,H1_A22,A22_COMPOSITE_NEW_ORDER_005,canonical_bytes,2532,68300.0,True
H1,H1_A22,A22_COMPOSITE_NEW_ORDER_005,bundle_bytes,2532,68300.0,True
H1,H1_A22,A22_COMPOSITE_NEW_ORDER_006,canonical_bytes,2130,61900.0,True
H1,H1_A22,A22_COMPOSITE_NEW_ORDER_006,bundle_bytes,2130,61900.0,True
H1,H1_A22,A22_COMPOSITE_NEW_ORDER_007,canonical_bytes,7225,113900.0,True
H1,H1_A22,A22_COMPOSITE_NEW_ORDER_007,bundle_bytes,7225,113900.0,True
H1,H1_A22,A22_COMPOSITE_NEW_ORDER_008,canonical_bytes,2241,68100.0,True
H1,H1_A22,A22_COMPOSITE_NEW_ORDER_008,bundle_bytes,2241,68100.0,True
H1,H1_A22,A22_COMPOSITE_NEW_ORDER_009,canonical_bytes,2320,60000.0,True
H1,H1_A22,A22_COMPOSITE_NEW_ORDER_009,bundle_bytes,2320,60000.0,True
H1,H1_A22,A22_COMPOSITE_NEW_ORDER_010,canonical_bytes,2186,68400.0,True
H1,H1_A22,A22_COMPOSITE_NEW_ORDER_010,bundle_bytes,2186,68400.0,True
H1,H1_A22,A22_COMPOSITE_NEW_ORDER_011,canonical_bytes,2435,62650.0,True
H1,H1_A22,A22_COMPOSITE_NEW_ORDER_011,bundle_bytes,2435,62650.0,True
H1,H1_A22,A22_COMPOSITE_NEW_ORDER_012,canonical_bytes,2730,75300.0,True
H1,H1_A22,A22_COMPOSITE_NEW_ORDER_012,bundle_bytes,2730,75300.0,True
